,Year,Series,Value
Canada,2010,Consumer price index: Food,100
Canada,2015,Consumer price index: Food,114.1861
Canada,2016,Consumer price index: Food,115.8586
Canada,2017,Consumer price index: Food,115.9263
Canada,2018,Consumer price index: Food,118.0729
Cayman Islands,2010,Consumer price index: General,100
Cayman Islands,2015,Consumer price index: General,103.5896
Cayman Islands,2016,Consumer price index: General,102.9419
Cayman Islands,2017,Consumer price index: General,105
Cayman Islands,2010,Consumer price index: Food,100
Cayman Islands,2015,Consumer price index: Food,115.8055
Cayman Islands,2016,Consumer price index: Food,115.8909
Cayman Islands,2017,Consumer price index: Food,116.9
Central African Republic,1995,Consumer price index: General,68.9563
Central African Republic,2005,Consumer price index: General,80.8852
Central African Republic,2010,Consumer price index: General,100
Central African Republic,2015,Consumer price index: General,186.8617
Chad,1995,Consumer price index: General,61.6752
Chad,2005,Consumer price index: General,85.6287
Chad,2010,Consumer price index: General,100
Chad,2015,Consumer price index: General,115.9055
Chile,2010,Consumer price index: General,101.4125
Chile,2015,Consumer price index: General,108.935
Chile,2016,Consumer price index: General,113.06
Chile,2017,Consumer price index: General,115.5275
Chile,2018,Consumer price index: General,118.3408
Chile,2010,Consumer price index: Food,102.1967
Chile,2015,Consumer price index: Food,114.59
Chile,2016,Consumer price index: Food,118.9683
Chile,2017,Consumer price index: Food,121.3592
Chile,2018,Consumer price index: Food,125.0658
China,2010,Consumer price index: General,100
China,2015,Consumer price index: General,114.8583
China,2016,Consumer price index: General,102
China,2017,Consumer price index: General,103.6083
China,2018,Consumer price index: General,105.775
China,2010,Consumer price index: Food,100
China,2015,Consumer price index: Food,129.4333
China,2016,Consumer price index: Food,104.5667
China,2017,Consumer price index: Food,103.0417
China,2018,Consumer price index: Food,104.8833
"China, Hong Kong SAR",1995,Consumer price index: General,89.6405
"China, Hong Kong SAR",2005,Consumer price index: General,89.5182
"China, Hong Kong SAR",2010,Consumer price index: General,100
"China, Hong Kong SAR",2015,Consumer price index: General,123
"China, Hong Kong SAR",2016,Consumer price index: General,125.925
"China, Hong Kong SAR",2017,Consumer price index: General,127.775
"China, Hong Kong SAR",2018,Consumer price index: General,130.8417
"China, Hong Kong SAR",2010,Consumer price index: Food,100
"China, Hong Kong SAR",2015,Consumer price index: Food,127.9
"China, Hong Kong SAR",2016,Consumer price index: Food,132.2417
"China, Hong Kong SAR",2017,Consumer price index: Food,135.1
"China, Hong Kong SAR",2018,Consumer price index: Food,139.6583
"China, Macao SAR",1995,Consumer price index: General,77.8
"China, Macao SAR",2005,Consumer price index: General,79.7439
"China, Macao SAR",2010,Consumer price index: General,100
"China, Macao SAR",2015,Consumer price index: General,131.3344
"China, Macao SAR",2016,Consumer price index: General,134.4472
"China, Macao SAR",2017,Consumer price index: General,136.0963
"China, Macao SAR",2018,Consumer price index: General,140.1871
"China, Macao SAR",2010,Consumer price index: Food,100
"China, Macao SAR",2015,Consumer price index: Food,139.2476
"China, Macao SAR",2016,Consumer price index: Food,143.2546
"China, Macao SAR",2017,Consumer price index: Food,145.4569
"China, Macao SAR",2018,Consumer price index: Food,149.4679
Colombia,1995,Consumer price index: General,28.3051
Colombia,2005,Consumer price index: General,79.6713
Colombia,2010,Consumer price index: General,100
Colombia,2015,Consumer price index: General,117.5884
Colombia,2016,Consumer price index: General,126.4233
Colombia,2017,Consumer price index: General,131.9576
Colombia,2018,Consumer price index: General,136.1512
Colombia,2010,Consumer price index: Food,100
Colombia,2015,Consumer price index: Food,121.4665
Colombia,2016,Consumer price index: Food,137.3916
Colombia,2017,Consumer price index: Food,138.3379
Colombia,2018,Consumer price index: Food,139.4842
Comoros,2005,Consumer price index: General,84.4137
Comoros,2010,Consumer price index: General,100
Comoros,2010,Consumer price index: Food,100
Congo,1995,Consumer price index: General,55.5428
Congo,2005,Consumer price index: General,78.9411
Congo,2010,Consumer price index: General,100
Congo,2015,Consumer price index: General,118.5317
Cook Islands,2010,Consumer price index: General,100
Cook Islands,2015,Consumer price index: General,111.5719
Cook Islands,2016,Consumer price index: General,111.2647
Cook Islands,2017,Consumer price index: General,111.1665
Cook Islands,2018,Consumer price index: General,111.2862
Cook Islands,2010,Consumer price index: Food,100
Cook Islands,2015,Consumer price index: Food,111.742
Cook Islands,2016,Consumer price index: Food,113.1601
