[T24.],Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
17,Middle Africa,2016,Arable land (thousand hectares),"25,904",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2016,Permanent crops (thousand hectares),"3,201",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2016,Forest cover (thousand hectares),"302,625",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2016,Arable land (% of total land area),4.0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2016,Permanent crops (% of total land area),0.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
17,Middle Africa,2016,Forest cover (% of total land area),46.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2005,Land area (thousand hectares),"265,067",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2005,Arable land (thousand hectares),"14,730",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2005,Permanent crops (thousand hectares),406,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2005,Forest cover (thousand hectares),"29,429",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2005,Arable land (% of total land area),5.6,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2005,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2005,Forest cover (% of total land area),11.1,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2010,Land area (thousand hectares),"265,067",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2010,Arable land (thousand hectares),"14,089",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2010,Permanent crops (thousand hectares),460,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2010,Forest cover (thousand hectares),"28,489",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2010,Arable land (% of total land area),5.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2010,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2010,Forest cover (% of total land area),10.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2016,Land area (thousand hectares),"265,067",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2016,Arable land (thousand hectares),"14,087",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2016,Permanent crops (thousand hectares),444,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2016,Forest cover (thousand hectares),"27,464",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2016,Arable land (% of total land area),5.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2016,Permanent crops (% of total land area),0.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
18,Southern Africa,2016,Forest cover (% of total land area),10.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2005,Land area (thousand hectares),"606,406",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2005,Arable land (thousand hectares),"81,022",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2005,Permanent crops (thousand hectares),"15,453",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2005,Forest cover (thousand hectares),"74,060",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2005,Arable land (% of total land area),13.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2005,Permanent crops (% of total land area),2.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2005,Forest cover (% of total land area),12.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2010,Land area (thousand hectares),"606,406",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2010,Arable land (thousand hectares),"82,895",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2010,Permanent crops (thousand hectares),"16,142",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2010,Forest cover (thousand hectares),"70,353",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
11,Western Africa,2010,Arable land (% of total land area),13.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
